Ticket_Number,Product_Code,Brand,CAT,BU,SKU_Name,Mapping_Status
7459087-20260611-163236,13680087,IN CUL : Noodles,CULINARY,F&B,Product: MAGGI 2-MINN Mas 24x300g PR Rs 2 Off IN,Exact Product Code Match
7459087-20260513-180410,13107571,IN NSB : Nestogen 1,INFANT NUTRITION,NN,Product: NESTLE NESTOGEN1 BIB24x400gINNN004-1NRIN,Exact Product Code Match
7459087-20260513-180534,12296327,IN SSD : UHT Milk - Slim,DAIRY,F&B,Product: NESTLE SLIM Skmd Milk TBrik 12x1L N5 IN,Exact Product Code Match
7459087-20260413-164100,14445547,IN CUL : Noodles,CULINARY,F&B,Product: MAGGI 2-MINN Masala 96x75g N2 IN,Exact Product Code Match
7459087-20260413-164303,14505767,IN C&B : Nescafe Classic Large Packs,BEVERAGES,F&B,Product: NESCAFE CLASSIC Jar 15x180g PR 145Off IN,Exact Product Code Match
7459087-20260413-164329,12615615,IN NSB : NANGROW,INFANT NUTRITION,NN,Product: NANGROW 24x400g JEFB001-2 N1 IN,Exact Product Code Match
7459087-20260406-181552,12526099,IN CUL : MAGGI - IMP,SI,SI,Product: MAGGI Coconut Milk Liquid 6(6x180ml) IN,Exact Product Code Match
7459087-20260330-122511,12629157,IN C&C : Kitkat,CHOCOLATE,F&B,Product: KIT KAT 2F MINI 24(42x13.2g) IN,Exact Product Code Match
7459087-20260225-110141,13700492,IN C&B : Nescafe Sunrise Small Packs,BEVERAGES,F&B,Product: NESC SUNRISE Sac 30(156x1.3g)TPBLR IN,Exact Product Code Match
7459087-20260225-110231,13680299,IN CUL : Noodles,CULINARY,F&B,Product: MAGGI 2-MINN Mas 16x450g PR Rs 4 Off IN,Exact Product Code Match
7459087-20260214-170920,14378778,IN C&C : Munch,CHOCOLATE,F&B,Product: MUNCH Twin Bar 24(24x19.8g) NR IN,Exact Product Code Match
7459087-20260214-171015,13679901,IN CUL : Noodles,CULINARY,F&B,Product: MAGGI 2-MINN Masala 96x75g IN,Exact Product Code Match
7459087-20260211-172800,13680299,IN CUL : Noodles,CULINARY,F&B,Product: MAGGI 2-MINN Mas 16x450g PR Rs 4 Off IN,Exact Product Code Match
7459087-20260124-163518,12586404,IN CUL : Noodles Value Added,CULINARY,F&B,Product: MAGGI Ntr-lcs Atta 16x435g RC 2 IN,Exact Product Code Match
7459087-20260121-124200,12629157,IN C&C : Kitkat,CHOCOLATE,F&B,Product: KIT KAT 2F MINI 24(42x13.2g) IN,Exact Product Code Match
7459087-20260121-124400,12559238,IN CUL : MAGGI NDLS - FLAVOURS,CULINARY,F&B,Product: MAGGI 2-MIN Spicy Garlic 24x248g IN,Exact Product Code Match
7459087-20260105-180255,12630048,IN CUL : Noodles Cup,CULINARY,F&B,Product:MAG Cuppa Spicy Garlic Ndls 48x70.5g IN,Exact Product Code Match
